gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
PDE3A,984.4734554612543,-3.139538612805503,0.47319045500337276,1.3692923025092653e-12,1.8955397867094427e-8
PCYT1B,56.59613725392098,-2.8144274956197597,0.4257520969816514,2.1707968239915745e-12,1.8955397867094427e-8
POTEF,1507.5226393793846,-2.353999626043386,0.392210477402058,8.319732590099176e-11,4.8431936651164e-7
POTEE,319.69890140974957,-2.3312110840087517,0.3939341888208962,1.4050674488411592e-10,6.134524481640501e-7
CYP4F8,240.1838994740433,-2.8087828817033773,0.48874354640899303,3.6859616407213473e-10,1.2874326818711522e-6
KCNS2,79.10219942757098,-1.7514045021609714,0.32525246395659535,3.401729948259036e-9,9.9013019693993e-6
ALDH1A1,285.31874581664795,-1.4173833395164932,0.2666085413457644,4.792258344339474e-9,1.1326396671790622e-5
LOC105373170,33.75088434154459,-3.379513203263039,0.6306854648989142,5.188454728259561e-9,1.1326396671790622e-5
SLC2A3,130.3982775399175,-2.3073320897495297,0.4510008687365123,1.2573553490075673e-8,2.4398282016742393e-5
ERVW-1,38.70160845297263,-2.361287548529085,0.46369490934440255,1.7625299714617405e-8,3.0780823421607835e-5
EDARADD,256.8406272114766,-1.2072957048106578,0.24680243046327757,4.477907627109557e-8,7.109288981803756e-5
RPL34P31,429.5394059413442,1.5649267036877585,0.330141775518681,9.229760405034826e-8,1.343237797612735e-4
AGR2,1179.5606332105851,-1.314950937791641,0.2854450964621636,1.7830528550582852e-7,2.2542024131834158e-4
RMRP,233.0991974835916,-1.5650966776004627,0.34088957290420174,1.80707935092578e-7,2.2542024131834158e-4
FZD5,3782.520168640937,-0.9214903825129931,0.20394818445865215,2.892996904684214e-7,3.240894764205305e-4
BTG1,11423.145515975923,0.9493008816857929,0.2095398354569188,2.9692118774212596e-7,3.240894764205305e-4
ANKRD22,291.72165692936034,1.17859073046823,0.2664529636008358,4.3200656550115164e-7,4.437978035242419e-4
NRCAM,464.95809237366626,-1.8927557664558534,0.4327520831889887,4.824095966724218e-7,4.546820655614221e-4
ID1,1387.6263445936074,1.0647737518616323,0.24224549127621967,4.946724258856516e-7,4.546820655614221e-4
POTEJ,345.3428151885153,-1.3386110533106328,0.30973592428286517,6.455361713219368e-7,5.636821847983152e-4
STEAP4,493.22945907303483,-1.9862293158961775,0.46355721426699154,7.028918915120655e-7,5.845382853984149e-4
FCGRT,254.42882003682112,1.4467922460471538,0.34229791289615785,9.906354252132977e-7,7.863844120875015e-4
