theme,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection,neglog10_padj,label
Neuronal,GOBP_POSTSYNAPTIC_ACTIN_CYTOSKELETON_ORGANIZATION,3.698735912725122e-7,2.475093956635608e-5,0.674962860011025,-0.8899414835353822,-2.2130563073763394,16,POTEF;POTEE;POTEJ;POTEI;MYH10;FARP1,C5:GO:BP,4.606408310235915,GOBP_POSTSYNAPTIC_ACTIN_CYTOSKELETON_ORGANIZATION
Neuronal,GOBP_POSTSYNAPTIC_CYTOSKELETON_ORGANIZATION,3.933916849498316e-7,2.625889497040126e-5,0.674962860011025,-0.8474757992961853,-2.181638897210624,19,POTEF;POTEE;POTEJ;POTEI;MYH10;FARP1,C5:GO:BP,4.580723553888379,GOBP_POSTSYNAPTIC_CYTOSKELETON_ORGANIZATION
Neuronal,GOMF_STRUCTURAL_CONSTITUENT_OF_POSTSYNAPSE,6.374352927759551e-6,2.9702482228827226e-4,0.610526878385931,-0.8403828627657552,-2.138217966572235,18,POTEF;POTEE;POTEJ;POTEI,C5:GO:MF,3.5272072552876237,GOMF_STRUCTURAL_CONSTITUENT_OF_POSTSYNAPSE
Neuronal,GOMF_STRUCTURAL_CONSTITUENT_OF_SYNAPSE,1.808587227089997e-5,7.261545708767357e-4,0.5756102610711286,-0.756881919467191,-2.120674211456285,26,POTEF;POTEE;POTEJ;POTEI,C5:GO:MF,3.1389709245703217,GOMF_STRUCTURAL_CONSTITUENT_OF_SYNAPSE
Neuronal,GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY,3.084683087426787e-5,0.00116001462583514,0.557332238758646,-0.5871279221286474,-1.9288306566679965,61,KCNS2;KCNMA1;KCNAB1;KCNN2;ABCC8;KCNJ8;KCNQ5;KCNH6;KCNIP2;KCNJ13;KCNQ4;KCNA6;KCNG3;KCNE4,C5:GO:MF,2.935536535014934,GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY
Neuronal,DESCARTES_MAIN_FETAL_NEUROENDOCRINE_CELLS,0.0011625487825745,0.02169239545358643,0.45505986738722953,-0.6591255680493218,-1.871021086614514,28,POTEJ;POTEI;TAS1R3;KLK14;ENTPD8;SLC26A5;KCNH6;RFX6;KLK12;VMAC,C8,1.6636924869516396,DESCARTES_MAIN_FETAL_NEUROENDOCRINE_CELLS
Neuronal,GOMF_VOLTAGE_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY,8.940471945897791e-5,0.00287950061466189,0.5384340963099162,-0.5261519508126926,-1.8577466728691936,90,KCNS2;KCNMA1;KCNAB1;KCNN2;ABCC8;CACNA1H;KCNJ8;KCNQ5;KCNH6;KCNIP2;KCNJ13;TPCN2;KCNQ4;KCNA6;CATSPER2;KCNG3;KCNE4;CACNA1G;KCNG2;HVCN1;KCNQ3,C5:GO:MF,2.5406828244290085,GOMF_VOLTAGE_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY
Neuronal,REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS,0.00218261978115478,0.03477085212221517,0.4317076958033464,-0.7660991981149481,-1.84408306836848,14,SLC2A3;FKBP5;TRPC3,C2:CP:REACTOME,1.4587846660196095,REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS
Neuronal,GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY,2.4346856799764015e-4,0.0064941166488881,0.5188480777437918,-0.5178921634265662,-1.8277692045525884,88,KCNMA1;BEST2;KCNN2;ABCC8;CHRNA4;TRPC3;KCNJ8;P2RX2;CHRNA1;KCNH6;KCNJ13;TPCN2;CHRNA2;SCNN1B;P2RX6;CATSPER2;RYR2;SCNN1G;ZACN;ITPR1;ITPR3;CNGB3;KCNMB3,C5:GO:MF,2.187479914737822,GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY
Neuronal,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP,2.873924033620435e-5,0.0010899683479782,0.5756102610711286,-0.4613341826900729,-1.7860415549954065,170,GRAP;RIPOR2;ZBTB20;MALAT1;HECTD4;RNF103;PIAS1;NF1;ANXA2R-AS1;HERC1;PDCD4;SPDYE1;ITGA6;FBXO32;ATXN7L1;C16orf54;LAPTM5;ZFP36L2;TSC22D1;FOXO3;RASGRP1;TNRC6B;HACD4;ZNF394;WHAMM;ANKRD36B;SETD1B;ATM;SYNE2;TECPR1;LINC02481;NLRC5;VPS13C;NLRP1;MED13L;KLF3;IFNAR2;ATXN7;PRRC2B;GOLGB1;KANSL1;GPR18;NDRG1;SUN2;FBXL20;ITFG2;ZFYVE1;RABGAP1L;HBP1;EPHA4;SERINC5;CREBRF;TSC1;UTRN;GSN;PDK3;NKTR;SH3BP5-AS1;ZSCAN2;TANC2;MBP;AQP3;BTN3A1;STK17B;STAG3L1;ACCS;GLIPR1;SYTL2;NR1D2;PNRC1;AKAP13;MLXIP,C7:IMMUNESIGDB,2.9625861135254303,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP
